Point,-11.9815,-77.077,5
Point,-11.9815,-77.076,13
Point,-11.9829,-77.0771,5
Point,-11.9791,-77.08,5
Point,-11.9813,-77.0762,5
Point,-11.9782,-77.0785,5
Point,-11.9819,-77.0766,5
Point,-11.9814,-77.0775,5
Point,-11.9815,-77.0801,5
Point,-11.9812,-77.0766,5
Point,-11.9783,-77.0792,5
Point,-11.9782,-77.078,5
Point,-11.9776,-77.0798,5
Point,-11.98,-77.0803,5
Point,-11.9808,-77.077,5
Point,-11.9786,-77.0798,5
Point,-11.9782,-77.078,5
Point,-11.9805,-77.0792,5
Point,-11.981,-77.0758,13
Point,-11.9831,-77.0759,5
Point,-11.9823,-77.0763,5
Point,-11.982,-77.0792,5
Point,-11.9781,-77.0714,13
Point,-11.9784,-77.0768,5
Point,-11.9769,-77.0703,23
Point,-11.9766,-77.0714,23
Point,-11.9801,-77.075,13
Point,-11.9769,-77.0697,23
Point,-11.9764,-77.0668,23
Point,-11.9782,-77.0719,13
Point,-11.9796,-77.0766,5
Point,-11.9797,-77.0717,13
Point,-11.9759,-77.0722,23
Point,-11.9799,-77.0754,13
Point,-11.9798,-77.0692,13
Point,-11.9769,-77.072,23
Point,-11.9752,-77.0699,23
Point,-11.9786,-77.0758,13
Point,-11.9786,-77.0763,13
Point,-11.9779,-77.0697,13
Point,-11.9801,-77.072,13
Point,-11.9748,-77.0675,23
Point,-11.9795,-77.0721,13
Point,-11.975,-77.0703,23
Point,-11.9788,-77.0707,13
Point,-11.9763,-77.0686,23
Point,-11.9771,-77.0711,23
Point,-11.9753,-77.0722,23
Point,-11.9763,-77.0681,23
Point,-11.9786,-77.0769,5
Point,-11.9792,-77.0694,13
Point,-11.9789,-77.0761,13
Point,-11.9802,-77.0702,13
Point,-11.977,-77.0695,23
Point,-11.9796,-77.0755,13
Point,-11.9766,-77.0678,23
Point,-11.9783,-77.0694,13
Point,-11.9788,-77.0768,5
Point,-11.9775,-77.0692,13
Point,-11.9791,-77.0703,13
Point,-11.9762,-77.0694,23
Point,-11.979,-77.0702,13
Point,-11.9799,-77.0722,13
Point,-11.9771,-77.0718,23
Point,-11.9767,-77.0677,23
Point,-11.9745,-77.0685,23
Point,-11.9801,-77.0745,13
Point,-11.9774,-77.071,23
Point,-11.9801,-77.0746,13
Point,-11.9786,-77.0712,13
Point,-11.9801,-77.0745,13
Point,-11.9742,-77.0671,23
Point,-11.9796,-77.0756,13
Point,-11.9768,-77.0694,23
Point,-11.9782,-77.072,13
Point,-11.9785,-77.074,13
Point,-11.976,-77.0708,23
Point,-11.976,-77.0723,23
Point,-11.9809,-77.0668,13
